st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
CH002,0,0,0,.,7-Jun,17,12,0.3428572,0.5666667,0.3087302,0.3548643,0.8954926,0.8158863,0,4,5,3,3,0,0,1,.,7-Apr,17,24,0.7058824,0.5666667,1.762518,1.422242,0.476545,0.4837678,1,Chhatarpur,,1,7,0,3,-1.254632,0,0,0,1,0,0
CH003,0,0,0,.,9-Aug,13,12,0.3428572,0.4333333,-0.18855,-0.164112,0.2336412,0.3181863,0,2,3,1,2,0,1,0,.,9-Aug,13,16,0.4571429,0.4333333,0.2112783,0.2624335,-0.6992428,-0.4824991,1,Chhatarpur,,1,8,0,3,-0.5490831,0,0,0,0,1,0
CH004,0,0,0,.,5-Apr,10,13,0.3714286,0.3333333,-1.816887,-1.992601,-1.333457,-1.273903,0,2,2,1,1,0,0,0,.,7-Apr,9,8,0.2352941,0.3,-1.064634,-0.7282056,-1.038831,-0.7861584,0,Chhatarpur,,1,5,0,3,-0.5490831,0,1,0,0,0,0
CH005,1,0,1,More than 4 hours,7-Jun,12,8,0.2285714,0.4,-0.5027009,-0.2924283,-0.1433985,-0.0486313,1,2,3,1,2,0,0,0,.,7-Apr,22,21,0.6176471,0.7333333,0.8421229,0.7401991,0.9616728,0.833806,0,Chhatarpur,,1,7,0,5,1.623184,0,0,0,1,0,0
CH007,1,0,0,1-2 hours,7-Jun,13,13,0.3714286,0.4333333,-0.2480848,-0.0927809,-0.2912408,-0.1828365,1,3,3,2,2,0,0,1,.,7-Apr,15,18,0.5294118,0.5,0.5905423,0.5618197,0.1579432,0.168713,1,Chhatarpur,,1,6,1,3,0.9292488,0,0,1,0,0,0
CH008,1,1,0,1-2 hours,7-Jun,11,12,0.3428572,0.3666667,-0.2452458,-0.1480916,-0.6442388,-0.4676304,1,2,2,2,2,0,0,1,.,7-Apr,18,18,0.5294118,0.6,0.3207136,0.3368312,0.6864438,0.621586,1,Chhatarpur,,1,6,0,3,1.4008,0,0,1,0,0,0
CH009,0,0,1,.,9-Aug,18,12,0.3428572,0.6,1.107318,1.051655,1.343401,1.175117,1,5,5,3,3,1,1,1,More than 4 hours,9-Aug,26,28,0.8,0.8666667,2.53848,2.056026,2.11345,1.94116,1,Chhatarpur,,1,8,0,2,2.451854,0,0,0,0,1,0
CH010,1,1,1,More than 4 hours,5-Apr,18,16,0.4571429,0.6,-0.0313513,0.0116966,0.1374554,0.1868428,1,4,4,2,2,1,0,0,Less than 1 hour,7-Apr,17,21,0.6176471,0.5666667,1.413651,1.1148,0.462588,0.4283893,1,Chhatarpur,,1,5,0,4,3.145789,0,1,0,0,0,0
CH011,0,0,0,.,9-Aug,6,10,0.2857143,0.2,-1.286034,-1.534852,-1.021852,-0.846348,0,1,1,1,1,0,0,1,.,9-Aug,13,12,0.3428572,0.4333333,-0.1583065,0.0023396,-0.3121848,-0.1730267,1,Chhatarpur,14,1,8,0,3,-3.643859,0,0,0,0,1,0
CH012,0,1,1,.,7-Jun,14,9,0.2571429,0.4666667,-0.4106451,-0.211944,0.0251007,0.0635906,1,2,3,2,2,0,1,0,.,7-Apr,8,15,0.4411765,0.2666667,0.006575,0.1008956,-0.9901786,-0.6761982,1,Chhatarpur,,1,7,1,5,-0.7125467,0,0,0,1,0,0
