startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,jobsatisfacton_job,writingtasks_job,usedgpt_job,whatused_for_job,usefulness_job,chatgpt_wtp_job,usedgpt_whynot_job,usedgpt_whynot_job_4_text,why_notuseful
2023-02-24 04:41:29,2023-02-24 04:43:51,0,100,142,1,2023-02-24 04:43:51,R_3iniHDy8qJPf8Kt,*******,anonymous,EN,,9,"I write a lot of emails asking questions and getting clarification.  I also write technical documentation as well as training guides.  Lastly, and I guess this counts, I write a fair amount of SQL code, and I try to keep a collection of handy solutions I discover or create.",1,"I have used it during prolific studies when asked to write.  At work I occasionally use it to summarize an email that I think is too long, or to give me a head start on a code I need to write.  ",2,10,,,
2023-02-14 10:11:56,2023-02-14 10:12:53,0,100,56,1,2023-02-14 10:12:54,R_Xhqhz6XsqKCWtrP,*******,anonymous,EN,011a99143c5e6b94624cd1848bcbff4cca4a7e422480028940af3a4c4523249d,3,"creating edit requests for materials, emailing invites for trainings to participants, creating presentations",2,,,,3,,
2023-02-16 07:49:35,2023-02-16 07:50:26,0,100,50,1,2023-02-16 07:50:27,R_0HZqK8tTQcAtW9j,*******,anonymous,EN,39ee9ae598d1dfdb8ea392fc2cc841c3dc773aa7da7e5ee55627234ca74a3e6c,6,I have to write up reports that contain data from tests.,2,,,,1,,None of this work can be don eby AI
2023-02-11 11:19:51,2023-02-11 11:21:40,0,100,109,1,2023-02-11 11:21:41,R_Xt9yFEuEdh9oEJb,*******,anonymous,EN,e4341ba03207817cdca33c3d9e2ee2a8408af0b74172b096bfc7d5878f1e56eb,8,"I write performance reviews, e-mails to senior leaders, peers and subordinates, and strategic documents on corporate strategy.",1,I used ChatGPT to write a history of our company.,4,100,,,
2023-02-13 13:31:20,2023-02-13 13:32:16,0,100,55,1,2023-02-13 13:32:16,R_2xRTiX5ynERAlI5,*******,anonymous,EN,3b671d59cbfa129c1f3b106adc8b85ae8f6fbf9e742f68f0410afbc51ff20592,7,"I have to write employee HR newsletter, HR tips, job descriptions, HR policies.",2,,,,3,,
2023-02-17 10:45:57,2023-02-17 10:47:59,0,100,121,1,2023-02-17 10:47:59,R_4MxQReT2GUK1wYx,*******,anonymous,EN,826e626930aa5fe0ae5ff5bbcadb969f466e18cc61da700e20c319bf2fee1426,7,"Film reviews, poetry, research platform studies.",2,,,,4,"I've experimented with ChatGPT, and will continue to do so. I'm uncertain how useful it will be in my work.",
2023-02-26 15:49:43,2023-02-26 15:50:55,0,100,71,1,2023-02-26 15:50:55,R_Qp5MSm0EpotLY41,*******,anonymous,EN,5c3622a0775013bdac430a10db0d8ca944ba04c493f376be97519bdca1ea9d3d,8,"I write emails to employees, I write memos, I write presentations, I write reports",2,,,,3,,
2023-03-06 04:20:38,2023-03-06 04:22:17,0,100,99,1,2023-03-06 04:22:18,R_2YPq4Mf5FrcL69I,*******,anonymous,EN,afa0d0e9e0b211b5b08cc6a2fd6d06345a9ada3f34c40cbdae6c9e3df4f0cf54,4,Copywriting and editing. Supervising other writers.,2,,,,2,,
2023-03-02 07:09:33,2023-03-02 07:11:32,0,100,119,1,2023-03-02 07:11:33,R_2rqOlNtWe31w7r2,*******,anonymous,EN,24705314df07a05a48fe2263223a8cb4fd7e56da0b28ecf6152f842bd322cc46,1,I don't really do any except to communicate to another manager about what has been done or answer questions when they're not there.,2,,,,1,,I am answering direct questions based on what's been happening in real time.
2023-02-23 16:45:05,2023-02-23 16:48:01,0,100,175,1,2023-02-23 16:48:02,R_3s5PZbaZ28wnS8H,*******,anonymous,EN,81dccdbd063bdded85678b4418ee417a7fc5ad0683723b506361191a22bcc30d,10,"I'm sincerely grateful that in my writing tasks for my job, I do creative writing. I love my job, career, and life calling. I'm so thankful.",1,I use ChatGPT to help me create more refined writing deliverables that make me happy and help heal myself to inspire me more and more each day.,5,9,,,
2023-02-12 20:22:27,2023-02-12 20:23:31,0,100,64,1,2023-02-12 20:23:32,R_1PcHBotrRvNjRKB,*******,anonymous,EN,fdf20029ba3cb9fdd6391c4914b690fd63f58de6e71000002fcc2a6d76c44ab7,8,Yearly performance reviews,2,,,,1,,I haven't had any writing tasks in the last month
2023-02-23 15:44:38,2023-02-23 15:51:56,0,100,437,1,2023-02-23 15:51:56,R_2bPICc3ejD8s7o1,*******,anonymous,EN,8b602f52b355b59f0f54322c707245ce262eb1afa596e89525561177fc6c8f3d,8,i write down notes to put on microsoft excel for data on tv's,2,,,,1,,its just not something we require
2023-03-02 02:24:14,2023-03-02 02:32:41,0,100,507,1,2023-03-02 02:32:42,R_1oIwpKstrqtTZyB,*******,anonymous,EN,255a9a6b65c3ad22a7c1c063ebab8bdf9c03a9cacaac54e788c13babc656df0b,6,Typical writing tasks that I deal with are technical write-ups and documents,2,,,,1,,"As most of my writing is technical write-ups, it would likely not be useful to rely on an AI to perform this task."
2023-02-17 06:47:57,2023-02-17 06:48:26,0,100,28,1,2023-02-17 06:48:26,R_wL7k9By4lLa0h57,*******,anonymous,EN,ee7c07768f61852b1e6aa3850487ea901d42ec05de647f8092745730495acbb4,7,Reports,2,,,,3,,
2023-02-19 13:21:25,2023-02-19 13:23:07,0,100,101,1,2023-02-19 13:23:07,R_2V8YMi5Fl4AfgMh,*******,anonymous,EN,33d085ecf1d8513d2734bb4c16b7318589fa651354baeb8bb27248d3fe216cb8,8,"client nad in house emails, design and project briefs",2,,,,1,,I need to in detail describe the project pitch to a client or what task the project contains. There is no point in using chatgpt because it can't see the project
2023-03-04 13:14:58,2023-03-04 13:16:39,0,100,101,1,2023-03-04 13:16:39,R_30p0Ke9a8Y5UUbC,*******,anonymous,EN,bf752effba0f5443cb9452cdfee0ba4887dad66b80a2b9a89963a382696dc05b,10,E-mails and general letters of correspondence to customers.,1,I've been working on pitches for new project proposals and I use Chat GPT to re-organize my expanded notes into a more condensed format.,3,5,,,
2023-02-11 10:54:41,2023-02-11 10:56:08,0,100,86,1,2023-02-11 10:56:08,R_3oYr2Y3ZM9neFQj,*******,anonymous,EN,240d50d7dfbf08915c597173c61c1b7a6616d4c021248707b5ae80e02aa425fe,6,The writing tasks that I do at work are mostly emails to collogues. ,2,,,,1,,because the emails I send are very simple. 
2023-02-23 17:03:03,2023-02-23 17:07:55,0,100,291,1,2023-02-23 17:07:55,R_3G2nQf4oE04rdgX,*******,anonymous,EN,67b2722e05f2ddeb8590c782674d872394e2bb7fbdd2a3adb73b40e43ea855d6,9,Most things are digital nowadays but I do write out my monthly employee evaluations.,2,,,,1,,"Hmm well, I haven't thought about it because I thought it was an AI chatbot, but I may give it a chance soon."
2023-02-24 07:27:49,2023-02-24 07:28:49,0,100,60,1,2023-02-24 07:28:50,R_2EugDB1D2Lr7gvz,*******,anonymous,EN,85d41f8d19581e0a831784d3cc16d2b17bca06d1ddcbc5fab3a6886b4eab0f1e,10,"I write emails and text messages to clients, inter-office memos detailing policies and procedures, and I also write proposals and invoices for clients.",2,,,,1,,The writing tasks I do require specific knowledge of our company policies or client needs in order to be drafted credibly.
2023-02-13 10:11:28,2023-02-13 10:12:44,0,100,76,1,2023-02-13 10:12:45,R_1hYlUpaGGoSQPrG,*******,anonymous,EN,7dd84051685ca8f70b301bd03c8dc2d40c6acfcb326fe3440597876df5dce587,10,I write proposals and letters to clients.  I also write employee reviews and reprimands. ,2,,,,3,,
2023-02-26 08:55:58,2023-02-26 09:00:24,0,100,265,1,2023-02-26 09:00:24,R_3I47KK53FdlV3w1,*******,anonymous,EN,9992665ba5dd33eb6a2afb69860287e681d6b064b0d7b4fd742c5b6b8988a79e,4,"I create and edit technical documents as well as update, edit, and create profile documents for library consortia. ",2,,,,1,,"ChatGPT is not familiar with the type of information I am required to write up.  Luckily for me, it is keeping my job safe. "
2023-03-05 20:15:07,2023-03-05 20:17:47,0,100,159,1,2023-03-05 20:17:47,R_1M3CXyOSH6tdR8E,*******,anonymous,EN,dfd9a3fca47411064b717169fcdccf04e3aa5bda0870cd8aba70845c9d09cd62,2,"I write for internet sites that just wnat to attract traffic for their ad revenue. The content, though not the text, is gleaned from other websites, so the information is simply repetitive and not original research. I may write about types of trees, gardening, tourism, things to do in a certain area, and that kind of thing.",2,,,,4,It is easier for me to write things myself. I am concerned about ChatGPT plagarizing other content and not sure how I would know it had done this.,
2023-02-12 09:26:13,2023-02-12 09:28:17,0,100,123,1,2023-02-12 09:28:17,R_2zw1pYxcIXAcMjf,*******,anonymous,EN,86efe22d888009440e972da404b74c4292c7ec61c45be8d3b106f01e4a603eb6,2,"Setting sales targets and developing strategies to meet those targets. Recruiting, training, and managing a sales team. Developing and maintaining relationships with key customers. Analyzing sales data and market trends to identify opportunities for growth. Developing and implementing sales plans and promotions. Monitoring sales performance and making adjustments to improve results.",2,,,,5,,
2023-02-20 23:07:11,2023-02-20 23:12:04,0,100,293,1,2023-02-20 23:12:04,R_1LMVarQ3tx6yZSP,*******,anonymous,EN,4e7d5b0e2c85db2380f769a72b5fa66f1819baa81ac054242c32b8a23e71492c,7,I write emails to customers and other employees daily. ,2,,,,3,,
2023-02-20 20:45:52,2023-02-20 20:46:31,0,100,39,1,2023-02-20 20:46:31,R_2YlXiMo6Cdnny0A,*******,anonymous,EN,fcc0f7035a4098695411fc5f3b491c6c20a8dd3cbcca077cac9cd192ff472281,9,I write lots of emails.,2,,,,3,,
2023-02-15 11:49:48,2023-02-15 11:50:35,0,100,46,1,2023-02-15 11:50:35,R_3PuUNNfmI4i5Q24,*******,anonymous,EN,d79bab71bec056a2c0ffccdc2c82cfd7090eb0a6cb58e055bbdd89d5a327b35c,6,I usually give quality prompts at work.,1,I helped to train a GPT.,3,0,,,
2023-02-12 02:24:50,2023-02-12 02:29:02,0,100,252,1,2023-02-12 02:29:03,R_3QMkSJA7yBi5wtI,*******,anonymous,EN,6d97fcb80f923110517024be9db307c8072de37a108ec3ac8ac0e23a543098be,7,"Training manuals, reports",1,I use it for writing general background. I incorporate it into longer works and add my own thoughts.,3,100,,,
2023-02-19 16:14:47,2023-02-19 16:15:51,0,100,64,1,2023-02-19 16:15:52,R_3ffNd99cRblHtc7,*******,anonymous,EN,0cd5b9e0910dc72d934d6584d81ad7ba7be1b38c5f049bc422dc493a6a7aecc0,5,"1.Technical writing, step by step instructions to complete tasks 2. Emails/direct communication with others",2,,,,4,It seems unethical,
2023-02-23 16:00:24,2023-02-23 16:01:02,0,100,37,1,2023-02-23 16:01:02,R_1Kg0VpEJ5qSblyb,*******,anonymous,EN,375e92bf1ff2df2a33756560472e2f8dd15e539b81c9ea1406a3f46d4d2186f4,6,I typically write reports or analysis of datasets for my job.,2,,,,5,,
2023-02-17 06:47:53,2023-02-17 06:51:23,0,100,209,1,2023-02-17 06:51:23,R_bNIGv8VBh9UhNtv,*******,anonymous,EN,89fc1f086008b8b7509e1998c47da2d704d4755edfeda7ed8e7cbaeba328462b,8,I write legally binding documents on a regular basis. These can be lengthy documents to short memos and emails.,2,,,,2,,
2023-02-23 16:36:29,2023-02-23 16:37:32,0,100,62,1,2023-02-23 16:37:32,R_2UeWPr8LHwDPNuI,*******,anonymous,EN,9e072e12a78f9c971381ddf477034060c61c10b42cbb55d2830df19dea336d8d,8,I have to write plans and also employee right ups and plans. ,2,,,,1,,It is very specific to the person the plan is about. The writing calls for more personal details. 
2023-02-12 12:09:35,2023-02-12 12:24:56,0,100,920,1,2023-02-12 12:24:56,R_XRt1dMs3RtTZRoR,*******,anonymous,EN,1a94ca9aeaa7bfcebf2f1688fee0989010e752c7accf16418cd68f2bd5b502c5,8,I write emails to clients and coworkers.  I also write reviews for my subs,2,,,,4,just havent thought about it,
2023-02-23 17:22:43,2023-02-23 17:24:06,0,100,83,1,2023-02-23 17:24:07,R_25u8uKG8jJIyRHB,*******,anonymous,EN,4fd24e35e80a107a84f80c2bb1b41d2be9dcc76e15d2ab8937713e4cc79bd716,9,"I write emails, instructions, procedures, sometimes I create presentations and I also do write-ups summarizing data analysis projects.",2,,,,3,,
