,responseid,essaynum,sheetnum,grader_id,occupation,StartDate,overall,writing,content,originality,time,prolific_pid,retry,justify
3155,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,763ed439466b4217d22477b159613e5a2632e415b05b538405a9b0ab2e1f074c,,
754,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,763ed439466b4217d22477b159613e5a2632e415b05b538405a9b0ab2e1f074c,,
68,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,3aa341cb3a10f3f0b5b469bb513b4aecd6cc207d6958eda59ae4ccd743d8bd38,,
4527,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,cf8b870ccef27604e15c12a13555452c8d0eee1ffb6cce4d7ff296e0b31bab7b,,
4184,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,116eb3c6f4eac9ba134c67127f953f3e405dbe4ad2ae58fb5528d266daab666f,,
3841,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,fdf20029ba3cb9fdd6391c4914b690fd63f58de6e71000002fcc2a6d76c44ab7,,
2126,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,cf8b870ccef27604e15c12a13555452c8d0eee1ffb6cce4d7ff296e0b31bab7b,,
2812,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,33dc2c61d05f7095afdbe56c3b9b2d702748814931e18ad6c623197280b29ece,,
411,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,33dc2c61d05f7095afdbe56c3b9b2d702748814931e18ad6c623197280b29ece,,
1440,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,fdf20029ba3cb9fdd6391c4914b690fd63f58de6e71000002fcc2a6d76c44ab7,,
2469,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,3aa341cb3a10f3f0b5b469bb513b4aecd6cc207d6958eda59ae4ccd743d8bd38,,
1783,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,116eb3c6f4eac9ba134c67127f953f3e405dbe4ad2ae58fb5528d266daab666f,,
3498,R_3mkuv4cdYkKjY1b,B,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,89fc1f086008b8b7509e1998c47da2d704d4755edfeda7ed8e7cbaeba328462b,,
1097,R_3mkuv4cdYkKjY1b,A,1,5a7fa3f176fcd3105401f8bcc8cd19c2cd260cc552e8905384e993913b886143,manager,2023-01-31 14:05:35,,,,,,89fc1f086008b8b7509e1998c47da2d704d4755edfeda7ed8e7cbaeba328462b,,
3087,R_3HLxXplkukXCPsv,B,1,2aa371e61d45998414cce44e29de7e4a1e86b74cacb7eaa6785e91362cf348a4,manager,2023-01-31 14:13:22,6.0,6.0,6.0,4.0,175.024,763ed439466b4217d22477b159613e5a2632e415b05b538405a9b0ab2e1f074c,,"The writing did a great job of laying out the basics of the change while easing concerns of employees that might see role changes.  It had a good, positive tone.  "
