,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,occupation,occupation_20_TEXT,salary,hours,tenure,education,task_experience,task_realism,consent_certain,consent_maybe,invited,grader_id
8,1/25/23 16:48,1/25/23 16:48,IP Address,100,23,TRUE,1/25/23 16:48,R_dd0lJUaF0slV7MZ,*******,anonymous,EN,Data Analyst or Data Scientist,,,,,,,,,,,353d116b4f3a155c86016def739d756b365d729196cc8cb7b3a3557777a350ed
9,1/25/23 16:52,1/25/23 16:54,IP Address,100,71,TRUE,1/25/23 16:54,R_25vjjXKvWlFMM2w,*******,anonymous,EN,Manager,,,,,,,,Yes,,,be6f0a9def74a9d098bc59e5ddca64406cbd34c841e80fb9fe59d7900e0fdb44
10,1/25/23 16:56,1/25/23 16:57,IP Address,100,29,TRUE,1/25/23 16:57,R_2WTN68eqT9wjk6p,*******,anonymous,EN,Manager,,,,,,,,No,,,0a4f19d40ab653d05fbb01cfc6b92ba37cb19b18027b79e24fbfa832a6e0c5d2
11,1/25/23 16:57,1/25/23 16:58,IP Address,100,42,TRUE,1/25/23 16:58,R_24qqxEqe7kcPInO,*******,anonymous,EN,,Data Entry,,,,,,,,,,9bd5497bbe011138f66f638faf10d090c24e8ea963b3885b44da0625fba5bb56
12,1/25/23 17:00,1/25/23 17:01,IP Address,100,56,TRUE,1/25/23 17:01,R_1eLuXUxWFRZYU2y,*******,anonymous,EN,,safety officer ,,,,,,,,,,d1d6fa850c409bbe4e51b41d22a941639676704451100a0986fcd94eba5af303
13,1/25/23 17:01,1/25/23 17:02,IP Address,100,22,TRUE,1/25/23 17:02,R_2DP8HF9okfPoQkN,*******,anonymous,EN,,Operations Associate,,,,,,,,,,634aa4c17be325f008ec737e9b76606e56a131022cb68a49ef9f560f54eaffa2
14,1/25/23 17:02,1/25/23 17:02,IP Address,100,22,TRUE,1/25/23 17:02,R_3nDaF7iQVCeErKA,*******,anonymous,EN,Data Analyst or Data Scientist,,,,,,,,,,,16f260a764c51174120f5548a65bc6f9ae09af398e8926cc288fabb3f70b679d
15,1/25/23 17:04,1/25/23 17:04,IP Address,100,16,TRUE,1/25/23 17:04,R_31c4CEeWo8FY8Oy,*******,anonymous,EN,Engineer/Software Developer,,,,,,,,,,,e67992865d017137a9bbadf9365cf306dc845b91a5b23a86997a4e1335d004ae
16,1/25/23 17:04,1/25/23 17:05,IP Address,100,29,TRUE,1/25/23 17:05,R_1I4VeYvgtDJsPdT,*******,anonymous,EN,,accountant,,,,,,,,,,c8fb010ce8ca1f5ff63cce69bc77c1187960b770b5ceec23171dc49cef684954
17,1/25/23 17:11,1/25/23 17:11,IP Address,100,31,TRUE,1/25/23 17:11,R_2zO6895IemILPvb,*******,anonymous,EN,,Customer Service ,,,,,,,,,,b2309cf165ba87a0a29d351d2ba67f43a39df149465ecc37ab93c98f3cf62902
18,1/25/23 17:13,1/25/23 17:13,IP Address,100,10,TRUE,1/25/23 17:13,R_2Cq68NN2nPVXG9f,*******,anonymous,EN,Administrator,,,,,,,,,,,070eea7f1a9cd1aaf9216bc2c3e79cc1d47d32b08ce1107825a1c18e898dff0e
